run_id,migration_method,transfer_mode,source_node,dest_node,src_dt_s,dst_dt_s,src_cpu_util_pct,dst_cpu_util_pct,cpu_util_pct_avg,src_mem_used_pct_before,src_mem_used_pct_after,src_mem_used_pct_delta,dst_mem_used_pct_before,dst_mem_used_pct_after,dst_mem_used_pct_delta,mem_used_pct_after_avg,mem_used_pct_delta_avg,src_disk_read_mb_s,src_disk_write_mb_s,src_disk_total_mb_s,dst_disk_read_mb_s,dst_disk_write_mb_s,dst_disk_total_mb_s,disk_total_mb_s_avg,timestamp
21-04-2026-host-cold-0000,cold,host,edge-node-1,edge-node-2,14.282745,14.289918,5.907173,5.491024,5.699099,19.424386,19.886677,0.462291,19.710282,19.045116,-0.665166,19.465897,-0.101437,0.000000,0.026529,0.026529,0.016401,0.004100,0.020502,0.023515,2026-04-21T01:32:21+0200
21-04-2026-direct-cold-0000,cold,direct,edge-node-1,edge-node-2,12.577561,12.579472,8.043217,7.335448,7.689333,19.130327,19.625668,0.495340,19.048302,19.477145,0.428844,19.551406,0.462092,0.004969,0.027952,0.032921,0.000000,0.062105,0.062105,0.047513,2026-04-21T01:32:47+0200
21-04-2026-host-precopy-0000,precopy,host,edge-node-1,edge-node-2,17.442317,17.196624,6.081871,4.655991,5.368931,19.934658,19.922912,-0.011746,21.017916,19.381979,-1.635937,19.652446,-0.823842,0.004255,0.192599,0.196854,0.007269,0.189218,0.196487,0.196670,2026-04-21T01:33:18+0200
21-04-2026-direct-precopy-0000,precopy,direct,edge-node-1,edge-node-2,15.193171,15.194127,7.355865,5.601591,6.478728,19.149440,19.161585,0.012145,19.148843,19.089115,-0.059728,19.125350,-0.023791,0.000000,0.173289,0.173289,0.004885,0.176363,0.181248,0.177269,2026-04-21T01:33:47+0200
21-04-2026-host-postcopy-0000,postcopy,host,edge-node-1,edge-node-2,17.596182,17.632392,7.071571,6.167904,6.619738,19.767023,19.715657,-0.051366,19.631840,19.559768,-0.072071,19.637713,-0.061718,0.009990,0.154730,0.164720,0.013292,0.180775,0.194068,0.179394,2026-04-21T01:34:18+0200
21-04-2026-direct-postcopy-0000,postcopy,direct,edge-node-1,edge-node-2,15.594528,15.599200,8.667529,7.032258,7.849894,19.733376,19.393925,-0.339451,20.051923,19.320659,-0.731264,19.357292,-0.535358,0.044086,0.214168,0.258254,0.002504,0.188061,0.190565,0.224409,2026-04-21T01:34:48+0200
22-04-2026-host-cold-0000,cold,host,edge-node-1,edge-node-2,14.948594,14.960688,6.149194,5.419051,5.784122,19.454449,20.101298,0.646849,21.795768,21.185352,-0.610415,20.643325,0.018217,0.000000,0.256347,0.256347,0.000000,0.183032,0.183032,0.219690,2026-04-22T20:24:15+0200
22-04-2026-host-cold-0001,cold,host,edge-node-1,edge-node-2,14.987810,14.988703,6.006711,5.535055,5.770883,19.664690,19.876523,0.211834,21.724294,21.210040,-0.514254,20.543282,-0.151210,0.000000,0.186871,0.186871,0.000000,0.238461,0.238461,0.212666,2026-04-22T20:24:44+0200
22-04-2026-host-cold-0002,cold,host,edge-node-1,edge-node-2,15.008734,15.004915,5.965147,5.799531,5.882339,19.928685,19.674246,-0.254439,21.165841,21.750375,0.584533,20.712310,0.165047,0.000000,0.325852,0.325852,0.000000,0.277253,0.277253,0.301552,2026-04-22T20:25:13+0200
22-04-2026-host-cold-0003,cold,host,edge-node-1,edge-node-2,14.605280,14.583511,6.262904,5.896552,6.079728,19.465797,20.309349,0.843552,21.249858,21.658394,0.408536,20.983872,0.626044,0.000000,0.285909,0.285909,0.000000,0.048482,0.048482,0.167195,2026-04-22T20:25:41+0200
22-04-2026-host-cold-0004,cold,host,edge-node-1,edge-node-2,15.097949,15.097092,5.931356,10.858500,8.394928,20.268933,20.493110,0.224177,22.504534,21.712348,-0.792186,21.102729,-0.284004,0.000000,0.035963,0.035963,0.000000,0.034930,0.034930,0.035447,2026-04-22T20:26:10+0200
22-04-2026-host-cold-0005,cold,host,edge-node-1,edge-node-2,14.962967,14.981088,6.042296,5.676856,5.859576,20.387791,19.610736,-0.777055,21.875803,21.184357,-0.691446,20.397546,-0.734250,0.000000,0.086672,0.086672,0.000000,0.038069,0.038069,0.062371,2026-04-22T20:26:38+0200
22-04-2026-host-cold-0006,cold,host,edge-node-1,edge-node-2,15.260057,14.984575,5.943586,6.541429,6.242508,20.843114,19.818787,-1.024327,21.899295,21.186945,-0.712350,20.502866,-0.868339,0.000000,0.032253,0.032253,0.000000,0.072210,0.072210,0.052231,2026-04-22T20:27:07+0200
22-04-2026-host-cold-0007,cold,host,edge-node-1,edge-node-2,15.321758,15.201302,5.753968,5.658504,5.706236,19.609939,19.907582,0.297642,21.201678,21.199289,-0.002389,20.553435,0.147627,0.000000,0.023455,0.023455,0.000000,0.054734,0.054734,0.039095,2026-04-22T20:27:36+0200
22-04-2026-host-cold-0008,cold,host,edge-node-1,edge-node-2,15.231741,15.234853,6.671070,6.673274,6.672172,20.172772,20.118818,-0.053954,21.197099,21.785017,0.587918,20.951917,0.266982,0.000000,0.332622,0.332622,0.000000,0.239223,0.239223,0.285922,2026-04-22T20:28:05+0200
22-04-2026-host-cold-0009,cold,host,edge-node-1,edge-node-2,14.888193,14.897592,6.142423,5.773126,5.957775,19.482322,20.108863,0.626542,21.182565,21.946082,0.763517,21.027473,0.695029,0.000000,0.292545,0.292545,0.000000,0.283708,0.283708,0.288126,2026-04-22T20:28:33+0200
22-04-2026-host-cold-0010,cold,host,edge-node-1,edge-node-2,15.261685,15.272636,6.818182,6.389987,6.604084,19.453254,20.722862,1.269608,22.205897,21.234727,-0.971170,20.978795,0.149219,0.000000,0.274124,0.274124,0.000000,0.286204,0.286204,0.280164,2026-04-22T20:29:02+0200
22-04-2026-host-cold-0011,cold,host,edge-node-1,edge-node-2,14.585430,14.591812,6.135815,5.478980,5.807398,19.444494,19.462014,0.017520,21.890734,21.201678,-0.689057,20.331846,-0.335768,0.000000,0.318169,0.318169,0.000000,0.081917,0.081917,0.200043,2026-04-22T20:29:30+0200
22-04-2026-host-cold-0012,cold,host,edge-node-1,edge-node-2,15.239606,15.525510,6.575964,6.535102,6.555533,19.452458,20.911203,1.458745,21.207253,22.189173,0.981920,21.550188,1.220333,0.000000,0.059210,0.059210,0.000000,0.065668,0.065668,0.062439,2026-04-22T20:29:59+0200
22-04-2026-host-cold-0013,cold,host,edge-node-1,edge-node-2,14.706778,14.723274,6.245734,5.779754,6.012744,20.135343,19.903799,-0.231544,21.183959,21.994660,0.810702,20.949230,0.289579,0.000000,0.024967,0.024967,0.000000,0.029450,0.029450,0.027208,2026-04-22T20:30:27+0200
22-04-2026-host-cold-0014,cold,host,edge-node-1,edge-node-2,14.932194,14.924798,6.193201,5.664194,5.928698,19.494665,19.996974,0.502308,21.164647,21.927367,0.762720,20.962171,0.632514,0.000000,0.024590,0.024590,0.000000,0.028790,0.028790,0.026690,2026-04-22T20:30:56+0200
22-04-2026-host-cold-0015,cold,host,edge-node-1,edge-node-2,14.754600,14.762507,6.303237,5.688011,5.995624,19.466593,20.012304,0.545710,21.653616,21.184158,-0.469458,20.598231,0.038126,0.000000,0.340731,0.340731,0.000000,0.286833,0.286833,0.313782,2026-04-22T20:31:24+0200
22-04-2026-host-cold-0016,cold,host,edge-node-1,edge-node-2,14.680454,14.690558,6.200754,5.711354,5.956054,19.482919,19.450865,-0.032054,21.638485,21.210438,-0.428047,20.330652,-0.230051,0.000000,0.296685,0.296685,0.000000,0.271220,0.271220,0.283952,2026-04-22T20:31:53+0200
22-04-2026-host-cold-0017,cold,host,edge-node-1,edge-node-2,15.001857,15.003018,6.103286,5.604027,5.853657,19.459426,19.738155,0.278728,21.852310,21.210836,-0.641474,20.474495,-0.181373,0.000000,0.279913,0.279913,0.000000,0.241878,0.241878,0.260896,2026-04-22T20:32:22+0200
22-04-2026-host-cold-0018,cold,host,edge-node-1,edge-node-2,14.776450,14.782222,6.128703,5.790191,5.959447,20.282073,20.071036,-0.211037,21.149317,21.396788,0.247471,20.733912,0.018217,0.000000,0.330446,0.330446,0.000000,0.073991,0.073991,0.202218,2026-04-22T20:32:50+0200
22-04-2026-host-cold-0019,cold,host,edge-node-1,edge-node-2,15.846029,15.563671,5.815832,5.601318,5.708575,21.626540,20.247630,-1.378909,22.509711,21.461294,-1.048417,20.854462,-1.213663,0.000000,0.268206,0.268206,0.000000,0.018071,0.018071,0.143138,2026-04-22T20:33:19+0200
22-04-2026-direct-cold-0000,cold,direct,edge-node-1,edge-node-2,12.930740,12.930122,8.018684,7.488300,7.753492,19.435137,20.021064,0.585927,21.360752,21.210040,-0.150712,20.615552,0.217607,0.000000,0.042595,0.042595,0.000000,0.022054,0.022054,0.032324,2026-04-22T20:33:46+0200
22-04-2026-direct-cold-0001,cold,direct,edge-node-1,edge-node-2,13.566276,13.558344,8.571429,8.385900,8.478664,19.475353,19.911763,0.436409,21.921594,21.242492,-0.679102,20.577127,-0.121346,0.000000,0.085806,0.085806,0.000000,0.061079,0.061079,0.073442,2026-04-22T20:34:13+0200
22-04-2026-direct-cold-0002,cold,direct,edge-node-1,edge-node-2,12.992858,13.000400,7.745933,7.558140,7.652036,20.185912,20.550847,0.364935,21.211633,21.745995,0.534362,21.148421,0.449649,0.000000,0.230595,0.230595,0.000000,0.326012,0.326012,0.278304,2026-04-22T20:34:39+0200
22-04-2026-direct-cold-0003,cold,direct,edge-node-1,edge-node-2,13.337138,13.610616,8.764793,8.296296,8.530545,19.482123,20.883131,1.401009,21.862065,22.132830,0.270765,21.507981,0.835887,0.000000,0.324224,0.324224,0.000000,0.340095,0.340095,0.332160,2026-04-22T20:35:07+0200
22-04-2026-direct-cold-0004,cold,direct,edge-node-1,edge-node-2,13.062647,13.079931,7.813703,7.621247,7.717475,19.583261,19.455245,-0.128016,22.036669,21.524406,-0.512263,20.489825,-0.320140,0.000000,0.413273,0.413273,0.000000,0.092281,0.092281,0.252777,2026-04-22T20:35:33+0200
22-04-2026-direct-cold-0005,cold,direct,edge-node-1,edge-node-2,13.060840,13.078623,9.136469,7.624182,8.380325,19.470973,20.481563,1.010590,21.167235,21.209841,0.042606,20.845702,0.526598,0.000000,0.352018,0.352018,0.000000,0.043009,0.043009,0.197514,2026-04-22T20:36:00+0200
22-04-2026-direct-cold-0006,cold,direct,edge-node-1,edge-node-2,13.123511,13.128436,7.742430,7.376104,7.559267,20.024448,19.779566,-0.244883,21.572387,21.318346,-0.254041,20.548956,-0.249462,0.000000,0.040183,0.040183,0.000000,0.002083,0.002083,0.021133,2026-04-22T20:36:27+0200
22-04-2026-direct-cold-0007,cold,direct,edge-node-1,edge-node-2,13.040828,13.030545,7.912003,7.778638,7.845320,19.965517,19.701123,-0.264394,21.189732,21.362146,0.172413,20.531635,-0.045990,0.000000,0.028157,0.028157,0.000000,0.002098,0.002098,0.015128,2026-04-22T20:36:54+0200
22-04-2026-direct-cold-0008,cold,direct,edge-node-1,edge-node-2,13.617790,13.606083,8.808290,7.372401,8.090345,19.756869,20.194274,0.437405,22.275778,21.194312,-1.081466,20.694293,-0.322031,0.000000,0.029832,0.029832,0.000000,0.355425,0.355425,0.192628,2026-04-22T20:37:21+0200
22-04-2026-direct-cold-0009,cold,direct,edge-node-1,edge-node-2,13.123765,13.123433,7.943208,7.521105,7.732157,19.785140,19.762444,-0.022696,21.691842,21.246474,-0.445368,20.504459,-0.234032,0.000000,0.252405,0.252405,0.000000,0.309263,0.309263,0.280834,2026-04-22T20:37:47+0200
22-04-2026-direct-cold-0010,cold,direct,edge-node-1,edge-node-2,13.311956,13.621927,8.865903,8.502773,8.684338,20.449310,22.470689,2.021378,21.167235,21.874210,0.706975,22.172449,1.364177,0.000000,0.221253,0.221253,0.000000,0.298519,0.298519,0.259886,2026-04-22T20:38:15+0200
22-04-2026-direct-cold-0011,cold,direct,edge-node-1,edge-node-2,13.114799,13.113196,8.336535,7.603687,7.970111,19.738155,20.243648,0.505494,21.469058,21.174004,-0.295054,20.708826,0.105220,0.000000,0.210878,0.210878,0.000000,0.091153,0.091153,0.151016,2026-04-22T20:38:41+0200
22-04-2026-direct-cold-0012,cold,direct,edge-node-1,edge-node-2,13.371665,13.363059,7.846096,8.194906,8.020501,19.758661,19.738354,-0.020307,21.819460,22.615827,0.796367,21.177090,0.388030,0.000000,0.230198,0.230198,0.000000,0.059340,0.059340,0.144769,2026-04-22T20:39:08+0200
22-04-2026-direct-cold-0013,cold,direct,edge-node-1,edge-node-2,13.017953,13.027963,7.924237,7.840865,7.882551,20.683840,20.814445,0.130604,21.173407,21.355178,0.181771,21.084811,0.156187,0.000000,0.261358,0.261358,0.000000,0.080356,0.080356,0.170857,2026-04-22T20:39:35+0200
