run_id,migration_method,transfer_mode,source_node,dest_node,src_dt_s,dst_dt_s,src_cpu_util_pct,dst_cpu_util_pct,cpu_util_pct_avg,src_mem_used_pct_before,src_mem_used_pct_after,src_mem_used_pct_delta,dst_mem_used_pct_before,dst_mem_used_pct_after,dst_mem_used_pct_delta,mem_used_pct_after_avg,mem_used_pct_delta_avg,src_disk_read_mb_s,src_disk_write_mb_s,src_disk_total_mb_s,dst_disk_read_mb_s,dst_disk_write_mb_s,dst_disk_total_mb_s,disk_total_mb_s_avg,timestamp
28-04-2026-host-cold-0000,cold,host,edge-node-1,edge-node-2,21.828598,20.670703,8.588808,7.707608,8.148208,21.772076,19.119178,-2.652897,21.398580,19.704309,-1.694271,19.411744,-2.173584,0.056012,1.692161,1.748173,0.006803,1.765973,1.772776,1.760474,2026-04-28T14:53:44+0200
28-04-2026-host-cold-0001,cold,host,edge-node-1,edge-node-2,19.101284,19.089486,8.793240,8.185430,8.489335,19.883691,19.144065,-0.739626,19.251773,19.183485,-0.068288,19.163775,-0.403957,0.000000,1.969967,1.969967,0.000000,1.886673,1.886673,1.928320,2026-04-28T14:54:03+0200
28-04-2026-host-cold-0002,cold,host,edge-node-1,edge-node-2,19.012065,19.270872,9.354586,8.818979,9.086782,19.151431,20.638646,1.487215,19.077568,21.630123,2.552555,21.134385,2.019885,0.000000,1.863537,1.863537,0.000000,1.876821,1.876821,1.870179,2026-04-28T14:54:24+0200
28-04-2026-host-cold-0003,cold,host,edge-node-1,edge-node-2,19.350873,19.318172,8.535630,8.220251,8.377940,20.161424,19.153223,-1.008201,20.158835,20.041769,-0.117066,19.597496,-0.562633,0.000000,1.884605,1.884605,0.000000,1.891839,1.891839,1.888222,2026-04-28T14:54:44+0200
28-04-2026-host-cold-0004,cold,host,edge-node-1,edge-node-2,19.184511,19.178215,8.749343,8.123028,8.436186,19.158200,19.167558,0.009357,19.702517,19.123359,-0.579158,19.145458,-0.284900,0.000000,1.902373,1.902373,0.000000,1.895665,1.895665,1.899019,2026-04-28T14:55:04+0200
28-04-2026-host-cold-0005,cold,host,edge-node-1,edge-node-2,19.604789,19.907947,9.663547,8.716284,9.189915,19.171141,20.445129,1.273988,19.120970,20.386995,1.266024,20.416062,1.270006,0.000000,1.860594,1.860594,0.000000,1.835597,1.835597,1.848096,2026-04-28T14:55:25+0200
28-04-2026-host-cold-0006,cold,host,edge-node-1,edge-node-2,19.797581,19.788705,8.961303,8.125318,8.543311,19.782353,19.003904,-0.778449,20.058294,20.058692,0.000398,19.531298,-0.389025,0.000000,1.849776,1.849776,0.000000,1.849224,1.849224,1.849500,2026-04-28T14:55:45+0200
28-04-2026-host-cold-0007,cold,host,edge-node-1,edge-node-2,19.158632,19.159256,8.813470,8.458498,8.635984,19.014854,19.033370,0.018516,19.292786,19.438123,0.145337,19.235747,0.081926,0.000000,1.911263,1.911263,0.000000,1.951978,1.951978,1.931620,2026-04-28T14:56:05+0200
28-04-2026-host-cold-0008,cold,host,edge-node-1,edge-node-2,19.239168,19.534043,9.563195,8.816057,9.189626,19.039741,20.526757,1.487016,19.134707,21.540333,2.405626,21.033545,1.946321,0.000000,1.897374,1.897374,0.006399,1.867733,1.874132,1.885753,2026-04-28T14:56:25+0200
28-04-2026-host-cold-0009,cold,host,edge-node-1,edge-node-2,19.382124,19.384068,8.627859,8.016658,8.322258,20.246635,19.021026,-1.225609,20.482957,18.984194,-1.498763,19.002610,-1.362186,0.000000,1.888822,1.888822,0.000000,1.885206,1.885206,1.887014,2026-04-28T14:56:46+0200
28-04-2026-host-cold-0010,cold,host,edge-node-1,edge-node-2,19.252750,19.260611,8.684279,8.553492,8.618886,19.010474,19.040338,0.029864,18.965679,19.773991,0.808312,19.407165,0.419088,0.000000,1.883254,1.883254,0.000000,1.899116,1.899116,1.891185,2026-04-28T14:57:06+0200
28-04-2026-host-cold-0011,cold,host,edge-node-1,edge-node-2,19.378233,19.632348,9.368583,8.833922,9.101253,19.018637,20.382615,1.363978,19.151829,20.471609,1.319779,20.427112,1.341878,0.000000,1.888193,1.888193,0.000000,1.852014,1.852014,1.870103,2026-04-28T14:57:26+0200
28-04-2026-host-cold-0012,cold,host,edge-node-1,edge-node-2,19.434161,19.421924,8.668570,8.415584,8.542077,20.004738,19.044519,-0.960219,20.069045,19.004103,-1.064942,19.024311,-1.012581,0.000000,1.881553,1.881553,0.000000,1.879722,1.879722,1.880637,2026-04-28T14:57:46+0200
28-04-2026-host-cold-0013,cold,host,edge-node-1,edge-node-2,18.987649,18.983832,8.641319,8.227176,8.434248,19.052483,19.074781,0.022298,19.005895,19.837700,0.831805,19.456241,0.427052,0.000000,1.924565,1.924565,0.000000,1.924746,1.924746,1.924656,2026-04-28T14:58:06+0200
28-04-2026-host-cold-0014,cold,host,edge-node-1,edge-node-2,19.935742,20.207657,9.304066,9.017199,9.160632,19.048700,20.590068,1.541368,19.174526,20.497291,1.322766,20.543680,1.432067,0.000000,1.834409,1.834409,0.000000,1.797741,1.797741,1.816075,2026-04-28T14:58:27+0200
28-04-2026-host-cold-0015,cold,host,edge-node-1,edge-node-2,19.755339,19.765597,9.037529,8.208004,8.622766,19.898423,19.023415,-0.875008,19.755874,19.596202,-0.159672,19.309809,-0.517340,0.000000,1.853929,1.853929,0.000000,1.855734,1.855734,1.854832,2026-04-28T14:58:48+0200
28-04-2026-host-cold-0016,cold,host,edge-node-1,edge-node-2,20.173783,20.173437,8.922769,8.247938,8.585354,19.069604,19.076772,0.007167,18.994149,19.462412,0.468264,19.269592,0.237716,0.000000,1.915582,1.915582,0.003098,1.809697,1.812795,1.864189,2026-04-28T14:59:09+0200
28-04-2026-host-cold-0017,cold,host,edge-node-1,edge-node-2,20.769770,20.738625,9.450923,9.185905,9.318414,19.785538,19.882496,0.096958,19.159594,19.903799,0.744205,19.893147,0.420581,0.000000,1.722944,1.722944,0.000000,1.777706,1.777706,1.750325,2026-04-28T14:59:30+0200
28-04-2026-host-cold-0018,cold,host,edge-node-1,edge-node-2,20.310174,20.321234,8.874566,8.314718,8.594642,19.137495,19.324243,0.186748,19.605759,19.176318,-0.429441,19.250280,-0.121346,0.000000,1.803860,1.803860,0.000000,1.793652,1.793652,1.798756,2026-04-28T14:59:51+0200
28-04-2026-host-cold-0019,cold,host,edge-node-1,edge-node-2,19.408334,19.411766,9.024896,8.333333,8.679115,19.130925,19.255357,0.124432,19.000121,20.364497,1.364376,19.809927,0.744404,0.002214,1.889692,1.891906,0.001006,1.893383,1.894389,1.893148,2026-04-28T15:00:11+0200
28-04-2026-direct-cold-0000,cold,direct,edge-node-1,edge-node-2,17.655885,17.663788,10.048530,10.288654,10.168592,19.064627,19.873736,0.809109,19.631242,20.082782,0.451540,19.978259,0.630324,0.000000,2.078140,2.078140,0.000000,2.078537,2.078537,2.078339,2026-04-28T15:00:30+0200
28-04-2026-direct-cold-0001,cold,direct,edge-node-1,edge-node-2,17.015356,16.945051,9.708160,9.698597,9.703379,19.294379,19.102654,-0.191725,19.374414,19.026999,-0.347415,19.064826,-0.269570,0.000000,2.146499,2.146499,0.000000,2.167853,2.167853,2.157176,2026-04-28T15:00:47+0200
28-04-2026-direct-cold-0002,cold,direct,edge-node-1,edge-node-2,16.059326,16.044349,10.198300,10.037760,10.118030,19.075776,19.080355,0.004579,19.007886,20.541291,1.533405,19.810823,0.768992,0.000000,2.298119,2.298119,0.000000,2.299291,2.299291,2.298705,2026-04-28T15:01:04+0200
28-04-2026-direct-cold-0003,cold,direct,edge-node-1,edge-node-2,16.908550,17.086941,9.917355,9.123118,9.520237,19.076174,19.350921,0.274747,19.261330,19.643785,0.382455,19.497353,0.328601,0.000000,2.157978,2.157978,0.000000,2.138649,2.138649,2.148314,2026-04-28T15:01:22+0200
28-04-2026-direct-cold-0004,cold,direct,edge-node-1,edge-node-2,16.689474,16.730189,10.220078,10.069340,10.144709,19.074980,19.072392,-0.002588,19.056464,19.931672,0.875207,19.502032,0.436310,0.000000,2.207370,2.207370,0.011674,2.202465,2.214139,2.210755,2026-04-28T15:01:39+0200
28-04-2026-direct-cold-0005,cold,direct,edge-node-1,edge-node-2,15.938969,15.979234,10.157729,9.728364,9.943046,19.115794,19.077767,-0.038027,19.521344,19.689377,0.168033,19.383572,0.065003,0.000000,2.301994,2.301994,0.000000,2.294971,2.294971,2.298482,2026-04-28T15:01:56+0200
28-04-2026-direct-cold-0006,cold,direct,edge-node-1,edge-node-2,15.873216,15.882649,10.368957,9.593393,9.981175,19.124554,19.739349,0.614795,19.396115,19.959545,0.563430,19.849447,0.589112,0.000000,2.357302,2.357302,0.000000,2.321716,2.321716,2.339509,2026-04-28T15:02:13+0200
28-04-2026-direct-cold-0007,cold,direct,edge-node-1,edge-node-2,16.069627,16.322101,10.713183,9.292992,10.003087,19.077170,20.440948,1.363778,19.039143,19.474159,0.435015,19.957554,0.899397,0.000000,2.507642,2.507642,0.000000,2.249395,2.249395,2.378518,2026-04-28T15:02:30+0200
28-04-2026-direct-cold-0008,cold,direct,edge-node-1,edge-node-2,16.202863,16.189344,9.968847,10.719850,10.344349,19.781756,19.098075,-0.683681,19.123558,19.884089,0.760530,19.491082,0.038425,0.000000,2.235571,2.235571,0.000241,2.278215,2.278457,2.257014,2026-04-28T15:02:47+0200
28-04-2026-direct-cold-0009,cold,direct,edge-node-1,edge-node-2,16.176600,16.186080,9.909629,9.357455,9.633542,19.111414,19.601379,0.489965,19.216932,19.920523,0.703590,19.760951,0.596778,0.000000,2.231232,2.231232,0.000000,2.493945,2.493945,2.362588,2026-04-28T15:03:04+0200
28-04-2026-direct-cold-0010,cold,direct,edge-node-1,edge-node-2,15.929952,15.933610,9.882800,9.683544,9.783172,19.172137,19.087921,-0.084216,19.080754,19.977662,0.896908,19.532791,0.406346,0.000000,2.268476,2.268476,0.000000,2.266730,2.266730,2.267603,2026-04-28T15:03:20+0200
28-04-2026-direct-cold-0011,cold,direct,edge-node-1,edge-node-2,16.499634,16.499017,10.886850,10.088658,10.487754,19.101658,19.124952,0.023294,19.376405,20.184916,0.808512,19.654934,0.415903,0.000000,2.202937,2.202937,0.000000,2.211069,2.211069,2.207003,2026-04-28T15:03:37+0200
28-04-2026-direct-cold-0012,cold,direct,edge-node-1,edge-node-2,16.023362,16.029224,10.128971,9.462433,9.795702,19.103251,19.556583,0.453332,19.780163,20.643226,0.863063,20.099904,0.658197,0.000000,2.259640,2.259640,0.000000,2.252721,2.252721,2.256181,2026-04-28T15:03:54+0200
28-04-2026-direct-cold-0013,cold,direct,edge-node-1,edge-node-2,15.872644,15.897470,9.965090,9.746032,9.855561,19.116988,19.170146,0.053157,20.206020,19.884885,-0.321135,19.527515,-0.133989,0.000000,2.349512,2.349512,0.000000,2.291049,2.291049,2.320280,2026-04-28T15:04:11+0200
28-04-2026-direct-cold-0014,cold,direct,edge-node-1,edge-node-2,15.977365,15.991235,10.167351,9.605757,9.886554,19.134110,19.135305,0.001195,19.116391,20.636058,1.519667,19.885682,0.760431,0.000000,2.252454,2.252454,0.000000,2.267844,2.267844,2.260149,2026-04-28T15:04:28+0200
28-04-2026-direct-cold-0015,cold,direct,edge-node-1,edge-node-2,17.462362,17.497679,10.169980,9.714615,9.942297,19.155413,19.119178,-0.036235,19.780163,20.502866,0.722703,19.811022,0.343234,0.000000,2.071196,2.071196,0.000000,2.076168,2.076168,2.073682,2026-04-28T15:04:46+0200
28-04-2026-direct-cold-0016,cold,direct,edge-node-1,edge-node-2,16.784326,16.606874,14.155529,9.516524,11.836026,19.135305,19.124156,-0.011149,20.033009,20.181731,0.148722,19.652943,0.068786,0.156396,2.157426,2.313822,0.000000,2.171776,2.171776,2.242799,2026-04-28T15:05:03+0200
28-04-2026-direct-cold-0017,cold,direct,edge-node-1,edge-node-2,17.108462,17.111169,10.179994,13.850252,12.015123,19.116590,19.130925,0.014335,19.783149,19.393527,-0.389623,19.262226,-0.187644,0.000000,2.228886,2.228886,0.160714,2.131055,2.291769,2.260327,2026-04-28T15:05:21+0200
28-04-2026-direct-cold-0018,cold,direct,edge-node-1,edge-node-2,17.889311,17.874349,10.223101,10.220215,10.221658,19.160191,19.153223,-0.006968,19.124156,20.413673,1.289517,19.783448,0.641275,0.000000,1.913896,1.913896,0.000000,2.041814,2.041814,1.977855,2026-04-28T15:05:40+0200
