run_id,technology,migration_method,network_migration,checkpoint_ms,archive_bytes,transfer_ms,restore_ms,downtime_ms,bandwidth_mbps,src_arch,dst_arch,same_arch,success,notes,timestamp,profile_name,predump_ms,final_dump_ms,total_ms,lazy_pages_active_ms,lazy_pages_log_bytes,archive_create_ms,transfer_setup_ms,transfer_send_ms,transfer_receive_ms,transfer_cleanup_ms,unpack_ms
12-04-2026-host-cold-0002,CRIU,cold,yes,340,27344,5803,328,6471,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:01:29.401921,,,,,,,,,,,,
12-04-2026-host-cold-0003,CRIU,cold,yes,330,27484,6338,327,6995,0.03,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:02:15.706535,,,,,,,,,,,,
12-04-2026-host-cold-0004,CRIU,cold,yes,327,27426,5660,310,6297,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:03:01.382053,,,,,,,,,,,,
12-04-2026-host-cold-0005,CRIU,cold,yes,332,27448,5639,311,6282,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:03:47.397046,,,,,,,,,,,,
12-04-2026-host-cold-0006,CRIU,cold,yes,319,27456,5629,317,6265,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:04:33.479211,,,,,,,,,,,,
12-04-2026-host-cold-0007,CRIU,cold,yes,332,27255,5655,324,6311,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:05:19.436410,,,,,,,,,,,,
12-04-2026-host-cold-0008,CRIU,cold,yes,331,27256,5590,319,6240,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:06:04.880154,,,,,,,,,,,,
12-04-2026-host-cold-0009,CRIU,cold,yes,342,27297,5678,319,6339,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:06:51.315490,,,,,,,,,,,,
12-04-2026-host-cold-0010,CRIU,cold,yes,337,27595,5832,315,6484,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:07:37.511908,,,,,,,,,,,,
12-04-2026-host-cold-0011,CRIU,cold,yes,333,27389,6014,326,6673,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:08:23.339069,,,,,,,,,,,,
12-04-2026-host-cold-0012,CRIU,cold,yes,329,27389,5627,309,6265,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:09:08.739516,,,,,,,,,,,,
12-04-2026-host-cold-0013,CRIU,cold,yes,323,27478,5641,324,6288,0.04,x86_64,x86_64,True,True,transfer_mode=host;workload=tcp-client;relay_node=edge-host-1,2026-04-12T23:09:54.693443,,,,,,,,,,,,
